ZIP,ZCTA5,GEOID
501,11742,36103
544,11742,36103
11742,11742,36103
601,601,72001
601,601,72141
602,602,72003
603,603,72005
604,603,72005
605,603,72005
606,606,72093
606,606,72121
606,606,72153
610,610,72003
610,610,72011
611,641,72001
611,641,72141
641,641,72001
641,641,72141
612,612,72013
612,612,72017
613,612,72013
613,612,72017
614,612,72013
614,612,72017
616,616,72013
617,617,72017
617,617,72054
622,622,72023
623,623,72023
624,624,72111
624,624,72113
627,627,72027
631,631,72001
631,631,72081
636,680,72011
636,680,72097
636,680,72125
680,680,72011
680,680,72097
680,680,72125
681,680,72011
681,680,72097
681,680,72125
637,637,72121
637,637,72153
638,638,72039
638,638,72091
646,646,72051
646,646,72143
647,647,72055
647,647,72079
650,650,72013
650,650,72017
650,650,72039
650,650,72054
650,650,72141
652,652,72013
653,653,72055
656,656,72059
659,659,72065
660,660,72067
662,662,72071
664,664,72073
664,664,72141
667,667,72079
667,667,72125
669,669,72081
669,669,72083
669,669,72131
670,670,72011
670,670,72083
674,674,72091
674,674,72145
676,676,72003
676,676,72099
677,677,72003
677,677,72117
678,678,72071
678,678,72115
678,678,72131
742,678,72071
742,678,72115
742,678,72131
682,682,72097
683,683,72125
685,685,72071
685,685,72131
687,687,72101
688,688,72013
690,690,72005
692,692,72143
693,693,72143
693,693,72145
694,694,72145
698,698,72059
698,698,72153
703,703,72007
703,703,72045
704,704,72057
704,704,72123
705,705,72009
705,705,72043
707,707,72095
714,714,72015
715,715,72075
715,715,72113
716,716,72113
732,716,72113
733,716,72113
734,716,72113
717,717,72113
718,718,72103
744,718,72103
719,719,72047
719,719,72105
719,719,72135
720,720,72043
720,720,72107
721,745,72029
721,745,72119
745,745,72029
745,745,72119
723,723,72109
725,725,72007
725,725,72025
725,725,72035
725,725,72061
725,725,72127
725,725,72129
726,725,72007
726,725,72025
726,725,72035
726,725,72061
726,725,72127
726,725,72129
727,727,72025
728,728,72113
729,729,72029
729,729,72087
730,730,72113
731,731,72001
731,731,72113
735,735,72037
735,735,72103
736,736,72035
736,736,72041
737,736,72035
737,736,72041
738,738,72053
739,739,72041
740,740,72053
741,741,72069
751,751,72123
754,754,72129
757,757,72133
765,765,72147
766,766,72107
766,766,72149
767,767,72069
767,767,72151
769,769,72043
771,771,72085
772,772,72087
773,773,72089
775,775,72049
777,777,72029
777,777,72063
777,777,72077
777,777,72085
778,778,72063
778,778,72129
780,780,72075
780,780,72113
782,782,72045
783,783,72047
784,784,72057
785,784,72057
786,786,72009
791,791,72069
792,791,72069
794,794,72019
794,794,72043
794,794,72045
795,795,72075
901,901,72127
902,927,72127
908,927,72127
910,927,72127
914,927,72127
916,927,72127
919,927,72127
922,927,72127
927,927,72127
928,927,72127
929,927,72127
930,927,72127
931,927,72127
933,927,72127
935,927,72127
937,927,72127
939,927,72127
940,927,72127
955,927,72127
975,927,72127
906,906,72127
907,907,72127
909,909,72127
911,911,72127
912,912,72127
913,913,72127
915,915,72127
917,917,72127
918,918,72127
920,920,72127
921,921,72127
923,923,72127
924,924,72031
924,924,72127
925,925,72127
926,926,72061
926,926,72127
926,926,72139
934,934,72021
934,934,72061
936,936,72127
949,949,72033
949,949,72137
950,950,72051
951,951,72137
952,952,72137
953,953,72047
953,953,72135
953,953,72137
954,953,72047
954,953,72135
954,953,72137
956,956,72021
956,956,72135
957,957,72021
957,957,72135
958,971,72021
958,971,72061
958,971,72127
971,971,72021
971,971,72061
971,971,72127
959,959,72021
959,959,72061
959,959,72135
959,959,72137
960,960,72021
961,961,72021
961,961,72033
962,962,72033
963,965,72033
963,965,72061
